,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neglog10pvalue,,
THAPSDRAFT_10192,42.91282125,-0.694292927,0.648563647,-1.070508547,0.284390464,0.942935048,0.54608497,,
THAPSDRAFT_10194,27.05226948,-0.665803401,0.696557807,-0.955848021,0.339149023,0.964400209,0.46960943,,
THAPSDRAFT_10195,16.97298154,0.033282951,0.737827865,0.045109371,0.964020132,0.995550825,0.015913897,,
THAPSDRAFT_10198,46.48608052,-0.086967859,0.616535186,-0.141059036,0.887823305,0.995550825,0.051673459,,
THAPSDRAFT_1020,22.83852034,-0.11710587,0.702410834,-0.166719909,0.86759044,0.995550825,0.061685242,,
THAPSDRAFT_10201,45.50849072,0.432489232,0.633418044,0.68278641,0.494741819,0.97365412,0.305621379,,
THAPSDRAFT_10203,157.6447828,-0.293286479,0.546107449,-0.537049035,0.591233743,0.979854037,0.228240788,,
THAPSDRAFT_10207,49.72223986,0.072153172,0.610071581,0.11827001,0.905853719,0.995550825,0.042941928,,
THAPSDRAFT_10216,6.674578638,-0.154269093,0.792287009,-0.194713647,0.845617128,0.994434124,0.072826229,,
THAPSDRAFT_10219,39.37327197,0.565399971,0.657264852,0.860231563,0.389661409,0.969441629,0.409312603,,
THAPSDRAFT_1022,51.55943448,0.579033774,0.629637416,0.919630504,0.357765881,0.968014203,0.44640108,,
THAPSDRAFT_10222,40.82280167,-0.420329363,0.638860493,-0.657936071,0.510579211,0.97365412,0.291936872,,
THAPSDRAFT_10223,58.28457811,0.10966592,0.593919349,0.184647832,0.853505266,0.995091298,0.068793795,,
THAPSDRAFT_10224,66.69522139,0.065634188,0.579935655,0.113174949,0.909891856,0.995550825,0.041010222,,
THAPSDRAFT_10228,15.57401682,0.999668056,0.773268183,1.292783122,0.19608608,0.915270943,0.707553236,,
THAPSDRAFT_10229,15.96168174,0.804710398,0.764158902,1.053066838,0.29231036,0.947141189,0.534155792,,
THAPSDRAFT_1023,77.4655642,-0.130341577,0.56636508,-0.230137029,0.817985292,0.994434124,0.087254505,,
THAPSDRAFT_10230,16.31563667,0.176806439,0.743959878,0.23765588,0.812148006,0.994434124,0.090364818,,
THAPSDRAFT_10232,29.00744908,0.09082251,0.674732429,0.134605224,0.892924011,0.995550825,0.049185499,,
THAPSDRAFT_10233,99.68044967,0.725507695,0.591437842,1.226684604,0.219941156,0.929775347,0.657693496,,
THAPSDRAFT_10234,906.5628451,1.082429205,0.761383052,1.421661808,0.155124452,0.899400879,0.809319738,,
THAPSDRAFT_10236,41.85095646,0.16150031,0.631716137,0.255653292,0.798218565,0.992384388,0.097878176,,
THAPSDRAFT_10239,28.26582923,0.607370179,0.696973484,0.871439435,0.383514262,0.969441629,0.416218481,,
THAPSDRAFT_10241,34.87298789,-0.023015325,0.650735394,-0.035368178,0.971786159,0.996496528,0.012429291,,
THAPSDRAFT_10244,19.87204095,-0.440720611,0.723034372,-0.609543098,0.542164515,0.97365412,0.265868911,,
THAPSDRAFT_10248,88.58986193,0.401564349,0.570637454,0.703711868,0.481612228,0.97365412,0.317302495,,
THAPSDRAFT_10249,65.95360155,0.311160674,0.589331699,0.527989033,0.597506948,0.97999877,0.22365704,,
THAPSDRAFT_10252,83.66820293,0.061554184,0.560300232,0.109859288,0.912520971,0.995550825,0.039757146,,
THAPSDRAFT_10254,49.89078982,0.95629131,0.663981246,1.440238435,0.149799953,0.894851618,0.824488324,,
THAPSDRAFT_10256,528.7918071,0.016707745,0.689037275,0.024247956,0.980654826,0.997706976,0.00848383,,
THAPSDRAFT_10262,39.54182193,-0.072775093,0.635380186,-0.11453787,0.908811428,0.995550825,0.041526221,,
THAPSDRAFT_10264,26.68145956,0.808776179,0.714836664,1.131413958,0.2578809,0.942935048,0.588580824,,
THAPSDRAFT_10266,57.12158335,0.295774713,0.602381381,0.491009055,0.623420043,0.982268126,0.205219239,,
THAPSDRAFT_10270,79.18477385,0.270404003,0.571461748,0.473179533,0.636085098,0.982569556,0.196484779,,
THAPSDRAFT_10271,45.49163572,-0.428015332,0.627242285,-0.6823764,0.495000975,0.97365412,0.305393946,,
